<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Zar,20250922, 421500.00, 421500.00, 412052.00, 415530.00,669530840062.00, 1611270,4396,D,425496.00,416598.00
Zar,20250921, 429610.00, 429610.00, 420459.00, 425496.00,860789286777.00, 2023024,3807,D,415803.00,421500.00
Zar,20250920, 421793.00, 421793.00, 413000.00, 415803.00,1278422617740.00, 3074589,4230,D,390553.00,416100.00
Zar,20250917, 391899.00, 391899.00, 389012.00, 390553.00,383019113024.00, 980710,2037,D,390909.00,391498.00
Zar,20250916, 389977.00, 392000.00, 389161.00, 390909.00,543867631280.00, 1391291,2464,D,382937.00,390780.00
Zar,20250915, 380502.00, 384338.00, 380502.00, 382937.00,354518911023.00, 925789,2025,D,377219.00,384100.00
Zar,20250914, 374500.00, 380990.00, 374500.00, 377219.00,351189237760.00, 930995,2152,D,376143.00,376402.00
Zar,20250913, 377100.00, 379479.00, 374068.00, 376143.00,533804227739.00, 1419152,4150,D,384872.00,374300.00
Zar,20250909, 385700.00, 389897.00, 381055.00, 384872.00,483014265947.00, 1255001,2886,D,388941.00,387489.00
Zar,20250908, 394700.00, 395000.00, 385110.00, 388941.00,842759747059.00, 2166806,4036,D,390001.00,386106.00
Zar,20250907, 385990.00, 391890.00, 385990.00, 390001.00,652402678598.00, 1672822,2787,D,382011.00,391598.00
Zar,20250906, 380200.00, 384990.00, 380200.00, 382011.00,683837314794.00, 1790097,2594,D,377563.00,384529.00
Zar,20250903, 372600.00, 379902.00, 372200.00, 377563.00,593256695417.00, 1571277,3035,D,374517.00,378002.00
Zar,20250902, 380126.00, 380126.00, 372000.00, 374517.00,1112001556437.00, 2969163,5996,D,383112.00,372648.00
Zar,20250831, 377109.00, 386599.00, 374500.00, 383112.00,947431905634.00, 2472989,4573,D,378176.00,385950.00
Zar,20250830, 383600.00, 385990.00, 372000.00, 378176.00,1413327106083.00, 3737217,6025,D,359961.00,377109.00
Zar,20250827, 356107.00, 364219.00, 354500.00, 359961.00,588192792337.00, 1634047,3480,D,349539.00,364140.00
Zar,20250826, 351071.00, 351900.00, 348348.00, 349539.00,395279902966.00, 1130861,2552,D,351070.00,348465.00
Zar,20250825, 351100.00, 354645.00, 348900.00, 351070.00,472814503991.00, 1346780,3088,D,345598.00,349991.00
Zar,20250823, 343761.00, 347094.00, 340311.00, 345598.00,604202480475.00, 1748283,2885,D,341736.00,346827.00
Zar,20250820, 340100.00, 342213.00, 340100.00, 341736.00,421003608097.00, 1231956,2279,D,338966.00,342213.00
Zar,20250819, 339100.00, 340200.00, 337500.00, 338966.00,307565886134.00, 907366,2088,D,337474.00,337695.00
Zar,20250818, 336400.00, 337999.00, 336400.00, 337474.00,243855000778.00, 722589,1580,D,336337.00,337688.00
Zar,20250817, 335000.00, 337000.00, 335000.00, 336337.00,305428712869.00, 908104,1527,D,333445.00,335460.00
Zar,20250816, 335858.00, 335858.00, 332100.00, 333445.00,259733886238.00, 778940,2275,D,339289.00,333205.00
Zar,20250813, 336011.00, 340701.00, 336011.00, 339289.00,523552198159.00, 1543088,2706,D,333622.00,339163.00
Zar,20250812, 335555.00, 335555.00, 331015.00, 333622.00,207372832055.00, 621580,1858,D,335605.00,333191.00
Zar,20250811, 338200.00, 338200.00, 334000.00, 335605.00,370353540337.00, 1103540,2278,D,331443.00,334617.00
